Indicator Name,Value
"Outward Debt Positions (Net): Resident Financial Intermediaries, Derived",-8069839.22829582
"Outward Debt Positions (Net): Resident Financial Intermediaries, Derived",-92640000
"Outward Debt Positions (Net): Resident Financial Intermediaries, Derived",-88090000
"Outward Debt Positions (Net): Resident Financial Intermediaries, Derived",-106140000
"Outward Debt Positions (Net): Resident Financial Intermediaries, Derived",-13890000
"Outward Debt Positions (Net): Resident Financial Intermediaries, Derived",-53810000
"Outward Debt Positions (Net): Resident Financial Intermediaries, Derived",-91870000
"Outward Debt Positions (Net): Resident Financial Intermediaries, Derived",-87360000
"Outward Direct Investment Positions, Derived",695020000
"Outward Direct Investment Positions, Derived",735190000
"Outward Direct Investment Positions, Derived",730230000
"Outward Direct Investment Positions, Derived",702320000
"Outward Direct Investment Positions, Derived",575308938.906752
"Outward Direct Investment Positions, Derived",525280000
"Outward Direct Investment Positions, Derived",3019100000
"Outward Direct Investment Positions, Derived",3219420000
"Outward Direct Investment Positions, Derived",3316280000
"Outward Direct Investment Positions, Derived",3390670000
"Outward Direct Investment Positions, Derived",3487980000
"Outward Direct Investment Positions, Derived",3822590000
Outward Direct Investment Positions,331000000
Outward Direct Investment Positions,296000000
Outward Direct Investment Positions,326000000
Outward Direct Investment Positions,368000000
Outward Direct Investment Positions,413000000
Outward Direct Investment Positions,285000000
Outward Direct Investment Positions,402000000
Outward Direct Investment Positions,457000000
Outward Direct Investment Positions,458000000
Outward Direct Investment Positions,512000000
Outward Direct Investment Positions,493000000
Outward Direct Investment Positions,723000000
"Inward Direct Investment Assets Positions (Gross) with Fellow Enterprises, Derived",9367394.67
"Inward Direct Investment Assets Positions (Gross) with Fellow Enterprises, Derived",13409132.68
"Inward Direct Investment Positions (Net) with Fellow Enterprises, Derived",-4710900.5
"Inward Direct Investment Positions (Net) with Fellow Enterprises, Derived",-9055460.5
Inward Direct Investment Positions,-2505000000
Inward Direct Investment Positions,706000000
Inward Direct Investment Positions,1387000000
Inward Direct Investment Positions,1131000000
Inward Direct Investment Positions,316000000
Inward Direct Investment Positions,301000000
Inward Direct Investment Positions,1341000000
Inward Direct Investment Positions,5105000000
Inward Direct Investment Positions,9053000000
Inward Direct Investment Positions,7438000000
Inward Direct Investment Positions,9275000000
Inward Direct Investment Positions,10777000000
"Inward Equity Positions (Net), Derived",142741764
"Inward Equity Positions (Net), Derived",9039146.5
"Inward Equity Positions (Net), Derived",177990306.5
